,product,uf,volume,year_month,unit,created_at
48,ÓLEO DIESEL S-500 (m3),SANTA CATARINA,108014.698,2013-01-01,m3,2021-11-19 10:40:49
49,ÓLEO DIESEL S-500 (m3),RIO GRANDE DO SUL,92444.418,2013-01-01,m3,2021-11-19 10:40:49
50,ÓLEO DIESEL S-500 (m3),MATO GROSSO DO SUL,5890.73,2013-01-01,m3,2021-11-19 10:40:49
51,ÓLEO DIESEL S-500 (m3),MATO GROSSO,981.225,2013-01-01,m3,2021-11-19 10:40:49
52,ÓLEO DIESEL S-500 (m3),GOIÁS,28780.9,2013-01-01,m3,2021-11-19 10:40:49
53,ÓLEO DIESEL S-500 (m3),DISTRITO FEDERAL,0.0,2013-01-01,m3,2021-11-19 10:40:49
54,ÓLEO DIESEL S-1800 (m3),RONDÔNIA,57128.718,2013-01-01,m3,2021-11-19 10:40:49
55,ÓLEO DIESEL S-1800 (m3),ACRE,14139.166,2013-01-01,m3,2021-11-19 10:40:49
56,ÓLEO DIESEL S-1800 (m3),AMAZONAS,97615.793,2013-01-01,m3,2021-11-19 10:40:49
57,ÓLEO DIESEL S-1800 (m3),RORAIMA,5462.8,2013-01-01,m3,2021-11-19 10:40:49
58,ÓLEO DIESEL S-1800 (m3),PARÁ,138496.156,2013-01-01,m3,2021-11-19 10:40:49
59,ÓLEO DIESEL S-1800 (m3),AMAPÁ,36902.285,2013-01-01,m3,2021-11-19 10:40:49
60,ÓLEO DIESEL S-1800 (m3),TOCANTINS,58116.55,2013-01-01,m3,2021-11-19 10:40:49
61,ÓLEO DIESEL S-1800 (m3),MARANHÃO,12291.8,2013-01-01,m3,2021-11-19 10:40:49
62,ÓLEO DIESEL S-1800 (m3),PIAUÍ,10.0,2013-01-01,m3,2021-11-19 10:40:49
63,ÓLEO DIESEL S-1800 (m3),CEARÁ,34480.0,2013-01-01,m3,2021-11-19 10:40:49
64,ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO NORTE,48146.9,2013-01-01,m3,2021-11-19 10:40:49
65,ÓLEO DIESEL S-1800 (m3),PARAÍBA,61.0,2013-01-01,m3,2021-11-19 10:40:49
66,ÓLEO DIESEL S-1800 (m3),PERNAMBUCO,267.0,2013-01-01,m3,2021-11-19 10:40:49
67,ÓLEO DIESEL S-1800 (m3),ALAGOAS,0.0,2013-01-01,m3,2021-11-19 10:40:49
68,ÓLEO DIESEL S-1800 (m3),SERGIPE,0.0,2013-01-01,m3,2021-11-19 10:40:49
69,ÓLEO DIESEL S-1800 (m3),BAHIA,0.0,2013-01-01,m3,2021-11-19 10:40:49
70,ÓLEO DIESEL S-1800 (m3),MINAS GERAIS,366934.587,2013-01-01,m3,2021-11-19 10:40:49
71,ÓLEO DIESEL S-1800 (m3),ESPÍRITO SANTO,380.45,2013-01-01,m3,2021-11-19 10:40:49
72,ÓLEO DIESEL S-1800 (m3),RIO DE JANEIRO,52102.783,2013-01-01,m3,2021-11-19 10:40:49
73,ÓLEO DIESEL S-1800 (m3),SÃO PAULO,243383.286,2013-01-01,m3,2021-11-19 10:40:49
74,ÓLEO DIESEL S-1800 (m3),PARANÁ,14536.469,2013-01-01,m3,2021-11-19 10:40:49
75,ÓLEO DIESEL S-1800 (m3),SANTA CATARINA,74259.53,2013-01-01,m3,2021-11-19 10:40:49
76,ÓLEO DIESEL S-1800 (m3),RIO GRANDE DO SUL,129263.354,2013-01-01,m3,2021-11-19 10:40:49
77,ÓLEO DIESEL S-1800 (m3),MATO GROSSO DO SUL,84477.19,2013-01-01,m3,2021-11-19 10:40:49
78,ÓLEO DIESEL S-1800 (m3),MATO GROSSO,2381033.9949999996,2013-01-01,m3,2021-11-19 10:40:49
79,ÓLEO DIESEL S-1800 (m3),GOIÁS,149833.82,2013-01-01,m3,2021-11-19 10:40:49
80,ÓLEO DIESEL S-1800 (m3),DISTRITO FEDERAL,29075.876,2013-01-01,m3,2021-11-19 10:40:49
81,ÓLEO DIESEL MARÍTIMO (m3),RONDÔNIA,2027.049,2013-01-01,m3,2021-11-19 10:40:49
82,ÓLEO DIESEL MARÍTIMO (m3),ACRE,25.0,2013-01-01,m3,2021-11-19 10:40:49
83,ÓLEO DIESEL MARÍTIMO (m3),AMAZONAS,8964.348,2013-01-01,m3,2021-11-19 10:40:49
84,ÓLEO DIESEL MARÍTIMO (m3),RORAIMA,70.0,2013-01-01,m3,2021-11-19 10:40:49
85,ÓLEO DIESEL MARÍTIMO (m3),PARÁ,7856.0,2013-01-01,m3,2021-11-19 10:40:49
86,ÓLEO DIESEL MARÍTIMO (m3),AMAPÁ,100.0,2013-01-01,m3,2021-11-19 10:40:49
87,ÓLEO DIESEL MARÍTIMO (m3),TOCANTINS,0.0,2013-01-01,m3,2021-11-19 10:40:49
88,ÓLEO DIESEL MARÍTIMO (m3),MARANHÃO,797.0,2013-01-01,m3,2021-11-19 10:40:49
89,ÓLEO DIESEL MARÍTIMO (m3),PIAUÍ,130.0,2013-01-01,m3,2021-11-19 10:40:49
90,ÓLEO DIESEL MARÍTIMO (m3),CEARÁ,400.0,2013-01-01,m3,2021-11-19 10:40:49
